Transaction_ID,Date,Month,Month_Name,Quarter,State,Platform,Category,Age_Group,Gender,Customer_Segment,Device_Type,Payment_Method,Delivery_Option,Order_Value_NGN,Quantity,Total_Value_NGN,Discount_Pct,Discount_Amount_NGN,Final_Value_NGN,Delivery_Days,Customer_Satisfaction,Repeat_Purchase_Likelihood,Returned,Platform_Rating
NM-10021,2023-11-14,11,Nov,Q4,Kaduna,Konga,Books & Education,25-34,Female,Retiree,Mobile,Card,Same Day,6025.04,3,18075.12,15,2711.27,15363.85,1,3,Low,1,4.5
NM-10022,2023-02-24,2,Feb,Q1,Delta,Konga,Home & Living,35-44,Male,Retiree,Mobile,Cash on Delivery,Next Day,94518.35,1,94518.35,15,14177.75,80340.6,2,3,High,0,4.4
NM-10023,2023-03-23,3,Mar,Q1,Enugu,Jiji,Books & Education,45-54,Female,Retiree,Desktop,Wallet,Standard (5-7 Days),11539.35,1,11539.35,0,0.0,11539.35,7,3,Medium,0,4.4
NM-10024,2023-04-20,4,Apr,Q2,Rivers,Jumia,Sports & Fitness,25-34,Male,Retiree,Mobile,Wallet,Next Day,8881.39,1,8881.39,10,888.14,7993.25,2,5,High,1,4.6
NM-10025,2023-11-05,11,Nov,Q4,Borno,Konga,Electronics,25-34,Female,Business Owner,Mobile,USSD,Standard (5-7 Days),315766.8,1,315766.8,0,0.0,315766.8,6,2,Low,0,4.3
NM-10026,2023-06-17,6,Jun,Q2,Lagos,Instagram Shop,Electronics,18-24,Male,Young Professional,Mobile,Transfer,Standard (5-7 Days),85906.2,1,85906.2,15,12885.93,73020.27,6,2,Low,1,3.7
NM-10027,2023-08-31,8,Aug,Q3,Abuja,Shoprite Online,Electronics,35-44,Male,Retiree,Tablet,Transfer,Same Day,239268.71,2,478537.42,0,0.0,478537.42,1,5,High,0,3.3
NM-10028,2023-10-31,10,Oct,Q4,Oyo,Jumia,Electronics,55+,Male,Young Professional,Mobile,USSD,Standard (5-7 Days),246355.83,2,492711.66,0,0.0,492711.66,7,4,High,0,3.9
NM-10029,2023-11-30,11,Nov,Q4,Anambra,Shoprite Online,Fashion,25-34,Female,Young Professional,Tablet,Cash on Delivery,Next Day,14343.46,3,43030.38,10,4303.04,38727.34,2,5,High,0,4.9
NM-10030,2023-04-04,4,Apr,Q2,Oyo,Amazon Nigeria,Home & Living,18-24,Female,Young Professional,Mobile,Cash on Delivery,2-3 Days,61068.24,1,61068.24,0,0.0,61068.24,3,1,Low,0,4.5
NM-10031,2023-06-06,6,Jun,Q2,Delta,Jiji,Books & Education,25-34,Female,Young Professional,Desktop,Cash on Delivery,2-3 Days,10463.46,1,10463.46,10,1046.35,9417.11,3,4,High,0,3.5
NM-10032,2023-09-26,9,Sep,Q3,Rivers,Jumia,Food & Grocery,35-44,Female,Business Owner,Mobile,Card,2-3 Days,15726.19,5,78630.95,15,11794.64,66836.31,2,3,Low,0,4.8
NM-10033,2023-04-05,4,Apr,Q2,Enugu,Jumia,Food & Grocery,25-34,Male,Young Professional,Mobile,Cash on Delivery,2-3 Days,24206.45,1,24206.45,20,4841.29,19365.16,2,4,High,0,4.7
NM-10034,2023-08-15,8,Aug,Q3,Abuja,WhatsApp Commerce,Fashion,35-44,Male,Homemaker,Desktop,Wallet,Next Day,15488.83,2,30977.66,5,1548.88,29428.78,1,5,Medium,0,4.1
NM-10035,2023-08-21,8,Aug,Q3,Kano,Jumia,Books & Education,25-34,Male,Young Professional,Mobile,Wallet,Next Day,2460.93,1,2460.93,0,0.0,2460.93,1,5,High,0,3.7
NM-10036,2023-09-10,9,Sep,Q3,Oyo,Jiji,Health & Beauty,55+,Female,Retiree,Mobile,Cash on Delivery,Standard (5-7 Days),16727.16,2,33454.32,20,6690.86,26763.46,5,1,Medium,1,5.0
NM-10037,2023-11-22,11,Nov,Q4,Oyo,Jiji,Food & Grocery,18-24,Female,Homemaker,Mobile,Cash on Delivery,2-3 Days,20727.63,4,82910.52,5,4145.53,78764.99,3,4,High,0,3.6
NM-10038,2023-09-21,9,Sep,Q3,Anambra,Shoprite Online,Electronics,18-24,Female,Young Professional,Mobile,Cash on Delivery,2-3 Days,291350.61,1,291350.61,20,58270.12,233080.49,3,3,Medium,0,4.3
NM-10039,2023-05-03,5,May,Q2,Lagos,Jumia,Food & Grocery,18-24,Female,Student,Mobile,USSD,Same Day,18325.0,1,18325.0,0,0.0,18325.0,1,5,High,0,4.1
NM-10040,2023-04-08,4,Apr,Q2,Oyo,Jiji,Health & Beauty,25-34,Male,Retiree,Desktop,Cash on Delivery,Next Day,32460.71,1,32460.71,20,6492.14,25968.57,1,4,Medium,0,4.5
NM-10041,2023-07-13,7,Jul,Q3,Borno,Jiji,Books & Education,25-34,Female,Student,Mobile,Card,2-3 Days,7647.15,1,7647.15,0,0.0,7647.15,3,5,High,0,4.8
NM-10042,2023-08-14,8,Aug,Q3,Anambra,Konga,Food & Grocery,45-54,Female,Business Owner,Tablet,Cash on Delivery,2-3 Days,4293.37,3,12880.11,0,0.0,12880.11,3,5,High,0,4.0
NM-10043,2023-12-17,12,Dec,Q4,Abuja,Amazon Nigeria,Automobile Parts,35-44,Male,Retiree,Mobile,USSD,Same Day,184818.39,5,924091.95,15,138613.79,785478.16,1,5,Medium,0,3.1
NM-10044,2023-04-03,4,Apr,Q2,Kaduna,Shoprite Online,Health & Beauty,25-34,Female,Retiree,Mobile,USSD,Next Day,8024.47,1,8024.47,20,1604.89,6419.58,1,3,Medium,0,3.5
NM-10045,2023-10-28,10,Oct,Q4,Lagos,Amazon Nigeria,Books & Education,25-34,Male,Young Professional,Mobile,USSD,Same Day,5538.58,4,22154.32,10,2215.43,19938.89,1,5,Medium,0,3.7
NM-10046,2023-01-26,1,Jan,Q1,Oyo,WhatsApp Commerce,Health & Beauty,18-24,Female,Student,Tablet,Transfer,2-3 Days,32095.05,2,64190.1,15,9628.51,54561.59,2,5,Medium,0,4.5
NM-10047,2023-06-01,6,Jun,Q2,Kano,Jiji,Electronics,35-44,Male,Young Professional,Desktop,USSD,2-3 Days,124450.91,1,124450.91,0,0.0,124450.91,3,3,High,0,4.6
NM-10048,2023-07-07,7,Jul,Q3,Kaduna,Shoprite Online,Books & Education,55+,Female,Business Owner,Mobile,Transfer,Standard (5-7 Days),2719.09,1,2719.09,0,0.0,2719.09,6,3,High,0,4.6
NM-10049,2023-02-02,2,Feb,Q1,Kaduna,Jumia,Home & Living,45-54,Male,Business Owner,Mobile,Cash on Delivery,2-3 Days,78071.45,1,78071.45,15,11710.72,66360.73,2,1,Medium,0,4.0
NM-10050,2023-11-12,11,Nov,Q4,Kaduna,PayPorte,Automobile Parts,35-44,Female,Student,Desktop,Wallet,Standard (5-7 Days),86358.25,4,345433.0,0,0.0,345433.0,6,3,Medium,0,5.0
NM-10051,2023-02-16,2,Feb,Q1,Kaduna,Jiji,Sports & Fitness,55+,Female,Young Professional,Mobile,Transfer,Same Day,54370.42,2,108740.84,10,10874.08,97866.76,1,4,High,0,4.5
NM-10052,2023-03-08,3,Mar,Q1,Rivers,Jiji,Home & Living,25-34,Female,Retiree,Desktop,USSD,Same Day,67124.78,2,134249.56,0,0.0,134249.56,1,5,High,0,3.5
NM-10053,2023-11-11,11,Nov,Q4,Kano,Shoprite Online,Fashion,25-34,Male,Student,Mobile,Transfer,Same Day,4821.33,2,9642.66,20,1928.53,7714.13,1,5,High,0,4.4
NM-10054,2023-11-21,11,Nov,Q4,Delta,PayPorte,Books & Education,18-24,Male,Homemaker,Desktop,Transfer,Next Day,9402.42,2,18804.84,5,940.24,17864.6,2,4,High,0,4.3
NM-10055,2023-08-01,8,Aug,Q3,Enugu,PayPorte,Home & Living,25-34,Male,Business Owner,Mobile,Cash on Delivery,Standard (5-7 Days),88905.44,1,88905.44,5,4445.27,84460.17,5,3,Medium,0,3.2
NM-10056,2023-12-07,12,Dec,Q4,Anambra,Jumia,Sports & Fitness,35-44,Male,Retiree,Mobile,Card,2-3 Days,75525.87,1,75525.87,20,15105.17,60420.7,3,3,Low,0,4.1
NM-10057,2023-11-15,11,Nov,Q4,Abuja,Konga,Sports & Fitness,45-54,Female,Homemaker,Desktop,Transfer,Next Day,50631.57,2,101263.14,0,0.0,101263.14,2,3,High,1,3.7
NM-10058,2023-08-03,8,Aug,Q3,Kano,Jiji,Automobile Parts,35-44,Male,Business Owner,Mobile,Transfer,Same Day,95099.99,1,95099.99,5,4755.0,90344.99,1,4,Medium,0,3.9
NM-10059,2023-12-14,12,Dec,Q4,Anambra,Konga,Books & Education,25-34,Male,Retiree,Mobile,Cash on Delivery,Same Day,10659.56,1,10659.56,10,1065.96,9593.6,1,5,Medium,1,4.5
NM-10060,2023-09-14,9,Sep,Q3,Oyo,Konga,Electronics,25-34,Female,Retiree,Desktop,Cash on Delivery,Next Day,202172.4,2,404344.8,5,20217.24,384127.56,2,1,Medium,0,4.0
NM-10061,2023-02-15,2,Feb,Q1,Abuja,Konga,Sports & Fitness,45-54,Female,Retiree,Desktop,Card,Standard (5-7 Days),37190.1,1,37190.1,5,1859.51,35330.59,6,4,Medium,0,4.3
NM-10062,2023-03-30,3,Mar,Q1,Enugu,Jiji,Sports & Fitness,18-24,Male,Young Professional,Desktop,USSD,Next Day,49782.32,2,99564.64,10,9956.46,89608.18,1,5,High,1,4.1
NM-10063,2023-10-30,10,Oct,Q4,Borno,Konga,Sports & Fitness,35-44,Female,Student,Mobile,Card,Standard (5-7 Days),8269.08,1,8269.08,5,413.45,7855.63,5,3,Medium,0,3.6
NM-10064,2023-04-07,4,Apr,Q2,Borno,Jiji,Books & Education,45-54,Female,Student,Mobile,Wallet,Standard (5-7 Days),5840.61,1,5840.61,0,0.0,5840.61,5,4,High,0,4.3
NM-10065,2023-07-18,7,Jul,Q3,Lagos,Jumia,Books & Education,25-34,Female,Young Professional,Mobile,Cash on Delivery,Next Day,7018.39,1,7018.39,10,701.84,6316.55,2,2,Low,1,4.6
NM-10066,2023-06-08,6,Jun,Q2,Kaduna,Jumia,Food & Grocery,35-44,Female,Young Professional,Mobile,USSD,Next Day,14855.21,2,29710.42,5,1485.52,28224.9,1,5,Medium,0,3.9
NM-10067,2023-11-13,11,Nov,Q4,Delta,Jumia,Food & Grocery,35-44,Female,Homemaker,Mobile,Card,Same Day,5014.13,1,5014.13,0,0.0,5014.13,1,5,Medium,0,4.5
NM-10068,2023-08-14,8,Aug,Q3,Delta,Jumia,Home & Living,25-34,Female,Homemaker,Tablet,USSD,Next Day,58093.2,1,58093.2,5,2904.66,55188.54,2,5,Medium,0,4.2
NM-10069,2023-08-12,8,Aug,Q3,Abuja,PayPorte,Fashion,25-34,Female,Young Professional,Mobile,USSD,2-3 Days,6851.97,3,20555.91,15,3083.39,17472.52,2,2,Low,0,3.1
NM-10070,2023-12-28,12,Dec,Q4,Abuja,Amazon Nigeria,Sports & Fitness,35-44,Male,Student,Mobile,Card,Standard (5-7 Days),39652.37,2,79304.74,20,15860.95,63443.79,5,4,High,0,3.2
NM-10071,2023-09-13,9,Sep,Q3,Oyo,Jumia,Fashion,18-24,Female,Homemaker,Mobile,Transfer,Standard (5-7 Days),28063.04,1,28063.04,10,2806.3,25256.74,6,3,High,0,4.4
NM-10072,2023-11-22,11,Nov,Q4,Abuja,Jiji,Sports & Fitness,25-34,Male,Homemaker,Tablet,Transfer,Same Day,33402.98,1,33402.98,15,5010.45,28392.53,1,4,Medium,0,4.5
NM-10073,2023-02-02,2,Feb,Q1,Kano,Jumia,Sports & Fitness,35-44,Female,Business Owner,Desktop,Card,Standard (5-7 Days),58419.42,4,233677.68,0,0.0,233677.68,5,4,High,0,4.1
NM-10074,2023-08-12,8,Aug,Q3,Lagos,Shoprite Online,Home & Living,25-34,Female,Retiree,Mobile,USSD,2-3 Days,107290.95,2,214581.9,20,42916.38,171665.52,3,4,High,0,4.6
NM-10075,2023-08-17,8,Aug,Q3,Anambra,Jumia,Food & Grocery,25-34,Male,Business Owner,Mobile,Wallet,Same Day,15860.3,1,15860.3,10,1586.03,14274.27,1,5,High,0,4.5
NM-10076,2023-08-13,8,Aug,Q3,Lagos,Jumia,Automobile Parts,18-24,Female,Business Owner,Mobile,USSD,Same Day,14681.4,1,14681.4,15,2202.21,12479.19,1,5,Medium,0,4.1
NM-10077,2023-04-06,4,Apr,Q2,Abuja,Jiji,Sports & Fitness,55+,Male,Young Professional,Mobile,Cash on Delivery,Next Day,41927.34,1,41927.34,10,4192.73,37734.61,2,4,Medium,1,4.0
NM-10078,2023-06-13,6,Jun,Q2,Abuja,Jumia,Fashion,45-54,Female,Student,Mobile,Cash on Delivery,Same Day,31049.27,2,62098.54,10,6209.85,55888.69,1,5,High,0,3.7
NM-10079,2023-03-08,3,Mar,Q1,Rivers,Shoprite Online,Home & Living,25-34,Female,Student,Mobile,Cash on Delivery,2-3 Days,75374.06,1,75374.06,5,3768.7,71605.36,3,5,High,0,3.9
NM-10080,2023-03-24,3,Mar,Q1,Enugu,Konga,Food & Grocery,25-34,Male,Homemaker,Mobile,Card,Same Day,9421.2,2,18842.4,5,942.12,17900.28,1,4,Medium,0,3.6
NM-10081,2023-01-15,1,Jan,Q1,Kano,Jiji,Food & Grocery,45-54,Female,Young Professional,Mobile,Card,2-3 Days,3868.13,4,15472.52,15,2320.88,13151.64,2,4,High,0,3.6
NM-10082,2023-04-15,4,Apr,Q2,Oyo,Konga,Automobile Parts,25-34,Female,Retiree,Mobile,USSD,Next Day,73316.97,1,73316.97,20,14663.39,58653.58,2,2,Low,0,3.8
NM-10083,2023-04-08,4,Apr,Q2,Abuja,Jumia,Automobile Parts,55+,Female,Business Owner,Mobile,Wallet,2-3 Days,154519.3,1,154519.3,10,15451.93,139067.37,3,1,Low,0,3.6
NM-10084,2023-07-07,7,Jul,Q3,Delta,Jiji,Books & Education,18-24,Male,Student,Mobile,USSD,Standard (5-7 Days),11812.07,1,11812.07,5,590.6,11221.47,7,2,Low,1,4.2
NM-10085,2023-09-18,9,Sep,Q3,Borno,Jumia,Fashion,35-44,Male,Retiree,Mobile,Cash on Delivery,2-3 Days,19858.26,1,19858.26,0,0.0,19858.26,3,4,High,0,3.7
NM-10086,2023-01-09,1,Jan,Q1,Borno,Shoprite Online,Health & Beauty,35-44,Male,Young Professional,Mobile,Wallet,Standard (5-7 Days),14471.63,2,28943.26,25,7235.81,21707.45,7,3,High,0,4.6
NM-10087,2023-01-17,1,Jan,Q1,Borno,Jumia,Electronics,18-24,Female,Homemaker,Mobile,Wallet,Standard (5-7 Days),206811.04,2,413622.08,0,0.0,413622.08,6,2,Low,1,4.5
NM-10088,2023-09-30,9,Sep,Q3,Lagos,PayPorte,Home & Living,25-34,Male,Business Owner,Mobile,Wallet,Standard (5-7 Days),44367.61,1,44367.61,15,6655.14,37712.47,5,4,Medium,1,5.0
NM-10089,2023-10-06,10,Oct,Q4,Oyo,PayPorte,Books & Education,25-34,Female,Retiree,Mobile,USSD,2-3 Days,6625.87,5,33129.35,15,4969.4,28159.95,3,3,High,0,3.9
NM-10090,2023-10-28,10,Oct,Q4,Oyo,Shoprite Online,Home & Living,18-24,Female,Student,Desktop,Card,2-3 Days,32517.44,1,32517.44,20,6503.49,26013.95,2,2,Low,0,4.9
NM-10091,2023-02-15,2,Feb,Q1,Kano,Konga,Books & Education,25-34,Male,Retiree,Mobile,Cash on Delivery,2-3 Days,10306.03,1,10306.03,15,1545.9,8760.13,2,5,High,1,4.1
NM-10092,2023-10-06,10,Oct,Q4,Oyo,Amazon Nigeria,Electronics,25-34,Female,Young Professional,Mobile,USSD,2-3 Days,190646.71,3,571940.13,0,0.0,571940.13,3,5,High,0,4.4
NM-10093,2023-07-27,7,Jul,Q3,Lagos,Shoprite Online,Health & Beauty,35-44,Female,Young Professional,Mobile,Wallet,Next Day,29377.17,1,29377.17,0,0.0,29377.17,1,5,Medium,0,3.9
NM-10094,2023-02-01,2,Feb,Q1,Oyo,Instagram Shop,Health & Beauty,35-44,Female,Homemaker,Desktop,Wallet,2-3 Days,24203.05,1,24203.05,0,0.0,24203.05,2,5,High,0,3.3
NM-10095,2023-11-02,11,Nov,Q4,Kano,Konga,Sports & Fitness,35-44,Female,Homemaker,Mobile,Cash on Delivery,Next Day,70358.26,1,70358.26,5,3517.91,66840.35,2,2,Medium,0,4.6
NM-10096,2023-09-20,9,Sep,Q3,Delta,Jumia,Home & Living,45-54,Male,Student,Mobile,Wallet,Standard (5-7 Days),52773.83,2,105547.66,10,10554.77,94992.89,6,2,Low,0,4.2
NM-10097,2023-11-27,11,Nov,Q4,Lagos,Instagram Shop,Fashion,35-44,Female,Young Professional,Mobile,Cash on Delivery,Next Day,43478.87,1,43478.87,20,8695.77,34783.1,2,2,Medium,1,3.2
NM-10098,2023-08-06,8,Aug,Q3,Enugu,Konga,Food & Grocery,25-34,Female,Student,Desktop,Card,2-3 Days,14234.47,3,42703.41,0,0.0,42703.41,2,3,High,0,4.4
NM-10099,2023-01-25,1,Jan,Q1,Borno,Shoprite Online,Electronics,25-34,Female,Homemaker,Mobile,Card,Same Day,96985.94,1,96985.94,5,4849.3,92136.64,1,5,High,0,3.6
NM-10100,2023-10-13,10,Oct,Q4,Borno,Shoprite Online,Sports & Fitness,25-34,Male,Business Owner,Mobile,Card,Next Day,76087.54,3,228262.62,20,45652.52,182610.1,2,5,High,0,3.6
NM-10101,2023-12-29,12,Dec,Q4,Anambra,Konga,Health & Beauty,25-34,Male,Young Professional,Mobile,Cash on Delivery,Standard (5-7 Days),7191.43,1,7191.43,0,0.0,7191.43,7,3,Medium,0,3.6
NM-10102,2023-11-05,11,Nov,Q4,Delta,Amazon Nigeria,Fashion,25-34,Female,Homemaker,Desktop,Wallet,Same Day,4661.0,1,4661.0,15,699.15,3961.85,1,5,High,0,4.9
NM-10103,2023-05-25,5,May,Q2,Abuja,Shoprite Online,Books & Education,45-54,Female,Young Professional,Mobile,Card,Standard (5-7 Days),6638.93,1,6638.93,5,331.95,6306.98,7,4,High,0,4.5
NM-10104,2023-10-11,10,Oct,Q4,Kaduna,Instagram Shop,Sports & Fitness,35-44,Male,Homemaker,Mobile,USSD,Next Day,75041.63,2,150083.26,5,7504.16,142579.1,1,4,Medium,0,4.9
NM-10105,2023-04-05,4,Apr,Q2,Kaduna,Jumia,Books & Education,18-24,Female,Business Owner,Mobile,Cash on Delivery,Next Day,13878.14,1,13878.14,10,1387.81,12490.33,1,5,High,0,3.8
NM-10106,2023-09-30,9,Sep,Q3,Kano,Jumia,Books & Education,35-44,Male,Homemaker,Mobile,USSD,Standard (5-7 Days),8947.19,1,8947.19,10,894.72,8052.47,5,3,High,0,3.7
NM-10107,2023-07-11,7,Jul,Q3,Abuja,Jiji,Home & Living,25-34,Male,Business Owner,Mobile,Card,2-3 Days,115319.25,1,115319.25,0,0.0,115319.25,3,5,High,0,3.1
NM-10108,2023-06-19,6,Jun,Q2,Anambra,Konga,Books & Education,25-34,Male,Young Professional,Mobile,Transfer,Same Day,9139.06,3,27417.18,0,0.0,27417.18,1,5,High,0,4.4
NM-10109,2023-12-31,12,Dec,Q4,Oyo,Amazon Nigeria,Electronics,55+,Female,Retiree,Desktop,Card,Same Day,290002.3,4,1160009.2,0,0.0,1160009.2,1,5,High,0,5.0
NM-10110,2023-11-01,11,Nov,Q4,Abuja,Jiji,Sports & Fitness,25-34,Female,Homemaker,Mobile,Transfer,Same Day,34149.43,2,68298.86,0,0.0,68298.86,1,4,High,0,4.2
NM-10111,2023-11-21,11,Nov,Q4,Anambra,Jumia,Health & Beauty,18-24,Female,Business Owner,Mobile,Card,2-3 Days,7514.0,1,7514.0,5,375.7,7138.3,2,4,Medium,0,4.2
NM-10112,2023-07-31,7,Jul,Q3,Enugu,Konga,Electronics,45-54,Male,Homemaker,Mobile,Transfer,2-3 Days,144912.85,1,144912.85,20,28982.57,115930.28,2,4,High,0,4.1
NM-10113,2023-02-24,2,Feb,Q1,Anambra,Jumia,Fashion,35-44,Male,Student,Mobile,USSD,Standard (5-7 Days),8690.56,1,8690.56,5,434.53,8256.03,6,2,Medium,0,4.7
NM-10114,2023-06-16,6,Jun,Q2,Rivers,Konga,Food & Grocery,55+,Female,Young Professional,Tablet,Cash on Delivery,Standard (5-7 Days),10649.27,3,31947.81,5,1597.39,30350.42,7,4,High,0,4.7
NM-10115,2023-05-10,5,May,Q2,Rivers,Konga,Health & Beauty,18-24,Male,Student,Desktop,Transfer,Standard (5-7 Days),23906.55,2,47813.1,15,7171.97,40641.13,7,3,Medium,0,4.4
NM-10116,2023-07-01,7,Jul,Q3,Enugu,Jumia,Sports & Fitness,35-44,Female,Retiree,Mobile,Wallet,Same Day,16641.73,2,33283.46,10,3328.35,29955.11,1,3,Low,0,4.2
NM-10117,2023-02-23,2,Feb,Q1,Borno,Jumia,Sports & Fitness,25-34,Male,Homemaker,Mobile,Cash on Delivery,Next Day,26452.85,4,105811.4,0,0.0,105811.4,1,4,High,0,4.4
NM-10118,2023-12-13,12,Dec,Q4,Delta,Jumia,Health & Beauty,45-54,Female,Student,Desktop,Transfer,Same Day,28501.63,4,114006.52,15,17100.98,96905.54,1,5,Medium,0,4.3
NM-10119,2023-12-27,12,Dec,Q4,Anambra,Konga,Home & Living,35-44,Male,Homemaker,Mobile,Cash on Delivery,Same Day,98003.93,1,98003.93,0,0.0,98003.93,1,4,High,0,3.9
NM-10120,2023-06-02,6,Jun,Q2,Anambra,Jiji,Fashion,45-54,Female,Young Professional,Mobile,USSD,Next Day,41584.67,2,83169.34,10,8316.93,74852.41,2,3,Low,0,4.0
NM-10121,2023-03-13,3,Mar,Q1,Anambra,Jiji,Automobile Parts,35-44,Female,Student,Mobile,Cash on Delivery,Next Day,43922.93,3,131768.79,10,13176.88,118591.91,2,2,Medium,0,4.4
NM-10122,2023-01-17,1,Jan,Q1,Anambra,PayPorte,Books & Education,35-44,Male,Student,Mobile,Cash on Delivery,Same Day,5210.51,1,5210.51,0,0.0,5210.51,1,5,Medium,0,5.0
NM-10123,2023-05-07,5,May,Q2,Enugu,Shoprite Online,Electronics,35-44,Female,Retiree,Mobile,Cash on Delivery,Same Day,114732.49,5,573662.45,5,28683.12,544979.33,1,5,High,0,4.5
NM-10124,2023-09-30,9,Sep,Q3,Kaduna,Amazon Nigeria,Automobile Parts,45-54,Female,Retiree,Mobile,Card,Next Day,61968.32,1,61968.32,5,3098.42,58869.9,2,3,High,1,4.4
NM-10125,2023-05-07,5,May,Q2,Abuja,Jumia,Automobile Parts,25-34,Female,Young Professional,Tablet,Transfer,Next Day,154202.93,2,308405.86,5,15420.29,292985.57,2,4,High,0,3.9
NM-10126,2023-02-02,2,Feb,Q1,Kaduna,Konga,Books & Education,35-44,Female,Retiree,Mobile,USSD,Standard (5-7 Days),12241.65,1,12241.65,25,3060.41,9181.24,6,2,Low,1,4.7
NM-10127,2023-08-08,8,Aug,Q3,Lagos,Jumia,Books & Education,25-34,Female,Business Owner,Mobile,Transfer,Standard (5-7 Days),4231.3,2,8462.6,0,0.0,8462.6,6,1,Low,1,4.3
NM-10128,2023-12-15,12,Dec,Q4,Rivers,Konga,Fashion,18-24,Male,Business Owner,Mobile,Transfer,Same Day,21692.81,1,21692.81,5,1084.64,20608.17,1,3,Low,0,3.6
